openalex_id,doi,title,year,type,landing_page_url,pdf_url,oa_url,query_ids,in_software_bib,software_bib_key,stage2_decision (include/exclude),stage2_exclusion_reason (EC1-EC5),notes_full_text,efficiency_metric(s) reported,se_task(s),intervention_point (I1/I2/I3/I4),workload_archetype(s) (W1-W5)
https://openalex.org/W2903604310,https://doi.org/10.5162/ettc2018/12.4,12.4 - Machine Learning-Driven Test Case Prioritization Approaches for Black-Box Software Testing,2018,article,https://doi.org/10.5162/ettc2018/12.4,https://www.ama-science.org/proceedings/getFile/ZwtmZt==,https://www.ama-science.org/proceedings/getFile/ZwtmZt==,Q1,False,,exclude,EC3,Uses ML for SE but does not optimize AI model efficiency,,,,
https://openalex.org/W2946739691,https://doi.org/10.1109/apsec.2018.00079,DeepGraph: A PyCharm Tool for Visualizing and Understanding Deep Learning Models,2018,article,https://doi.org/10.1109/apsec.2018.00079,,,Q1,False,,exclude,EC3,Uses ML for SE but does not optimize AI model efficiency,,,,
https://openalex.org/W2885222086,https://doi.org/10.1109/qrs.2018.00031,SynEva: Evaluating ML Programs by Mirror Program Synthesis,2018,article,https://doi.org/10.1109/qrs.2018.00031,,,Q1,False,,exclude,EC3,Uses ML for SE but does not optimize AI model efficiency,,,,
https://openalex.org/W2956024384,,An implementation research on software defect prediction using machine learning techniques,2018,article,http://hdl.handle.net/10138/273586,http://hdl.handle.net/10138/273586,http://hdl.handle.net/10138/273586,Q1,False,,exclude,EC3,Uses ML for SE but does not optimize AI model efficiency,,,,
https://openalex.org/W2941613753,https://doi.org/10.1109/access.2019.2913349,Deep Learning Approach for Software Maintainability Metrics Prediction,2019,article,https://doi.org/10.1109/access.2019.2913349,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08698760.pdf,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08698760.pdf,Q1,False,,exclude,EC3,Uses ML for SE but does not optimize AI model efficiency,,,,
https://openalex.org/W2914608582,https://doi.org/10.1109/tse.2019.2945020,How to “DODGE” Complex Software Analytics,2019,article,https://doi.org/10.1109/tse.2019.2945020,,https://arxiv.org/pdf/1902.01838,Q1,False,,exclude,EC3,Uses ML for SE but does not optimize AI model efficiency,,,,
https://openalex.org/W2969466556,https://doi.org/10.1109/access.2019.2937107,"Testing and Quality Validation for AI Software–Perspectives, Issues, and Practices",2019,article,https://doi.org/10.1109/access.2019.2937107,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08811507.pdf,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08811507.pdf,Q1,False,,exclude,EC3,Uses ML for SE but does not optimize AI model efficiency,,,,
https://openalex.org/W2986478207,https://doi.org/10.1007/s10664-019-09769-8,Recognizing lines of code violating company-specific coding guidelines using machine learning,2019,article,https://doi.org/10.1007/s10664-019-09769-8,https://link.springer.com/content/pdf/10.1007/s10664-019-09769-8.pdf,https://link.springer.com/content/pdf/10.1007/s10664-019-09769-8.pdf,Q1,False,,exclude,EC3,Uses ML for SE but does not optimize AI model efficiency,,,,
https://openalex.org/W2947510423,https://doi.org/10.1186/s40537-019-0198-z,Exploring the applicability of low-shot learning in mining software repositories,2019,article,https://doi.org/10.1186/s40537-019-0198-z,https://journalofbigdata.springeropen.com/track/pdf/10.1186/s40537-019-0198-z,https://journalofbigdata.springeropen.com/track/pdf/10.1186/s40537-019-0198-z,Q7,False,,exclude,EC3,Uses ML for SE but does not optimize AI model efficiency,,,,
https://openalex.org/W2968544084,https://doi.org/10.1145/3338906.3341466,Machine-learning supported vulnerability detection in source code,2019,article,https://doi.org/10.1145/3338906.3341466,,,Q1,False,,exclude,EC3,Uses ML for SE but does not optimize AI model efficiency,,,,
